City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
266,sao joao da barra,-21.6403,-41.0511,73.49,84,1,6.62,BR,1683152836
267,calama,-22.4667,-68.9333,70.29,11,40,17.27,CL,1683152667
268,cam ranh,11.9214,109.1591,76.96,88,20,3.44,VN,1683152837
269,enewetak,11.3474,162.3373,80.87,78,100,18.77,MH,1683152837
270,tocopilla,-22.092,-70.1979,67.86,73,69,10.78,CL,1683152838
271,vytegra,61.0064,36.4481,32.22,93,60,3.47,RU,1683152838
272,loukhi,66.0764,33.0381,29.93,90,100,11.99,RU,1683152838
273,port saint john's,-31.6229,29.5448,66.11,87,8,6.91,ZA,1683152838
274,kaiapoi,-43.3783,172.6401,66.09,67,100,9.22,NZ,1683152839
275,aleksandrovskoye,44.7142,43.0008,47.1,87,95,8.41,RU,1683152839
276,sharkan,57.2989,53.8712,51.1,85,100,1.32,RU,1683152839
277,camiri,-20.05,-63.5167,58.78,77,100,0.0,BO,1683152840
278,kargasok,59.0556,80.8572,44.15,61,100,7.83,RU,1683152840
279,coahuayana de hidalgo,18.7,-103.6583,91.29,36,61,7.07,MX,1683152841
280,kingisepp,59.3733,28.6134,36.27,95,89,4.61,RU,1683152841
281,shakawe,-18.3667,21.85,67.44,42,10,3.83,BW,1683152842
282,porto novo,6.4965,2.6036,84.02,81,68,5.64,BJ,1683152842
283,kapa'a,22.0752,-159.319,80.92,71,0,13.8,US,1683152842
284,kerema,-7.9631,145.7785,80.56,82,90,2.39,PG,1683152843
285,beau vallon,-20.4189,57.6953,74.21,94,75,3.44,MU,1683152843
286,tosontsengel,48.7567,98.2839,25.11,67,83,4.07,MN,1683152843
287,uturoa,-16.7333,-151.4333,82.62,79,28,18.1,PF,1683152843
288,tsumeb,-19.2333,17.7167,70.43,31,72,7.09,,1683152844
289,minas de marcona,-15.2119,-75.1103,63.1,74,16,17.02,PE,1683152844
290,nalut,30.3333,10.85,70.57,20,12,8.7,LY,1683152844
291,matveyev kurgan,47.5645,38.8695,51.28,72,14,3.15,RU,1683152845
292,zakynthos,37.7914,20.8953,61.65,85,91,19.22,GR,1683152845
293,cova figueira,14.8905,-24.2934,73.94,61,7,9.66,CV,1683152845
294,margaret river,-33.95,115.0667,55.83,79,90,7.76,AU,1683152845
295,wynne,35.2245,-90.7868,68.83,36,2,4.97,US,1683152846
296,yeppoon,-23.1333,150.7333,64.18,57,9,7.67,AU,1683152846
297,agaro,7.85,36.65,61.63,99,100,3.02,ET,1683152846
298,mount isa,-20.7333,139.5,67.77,32,7,9.22,AU,1683152847
299,senica,48.6792,17.367,50.79,90,29,6.17,SK,1683152847
300,hadibu,12.65,54.0333,84.07,79,100,2.89,YE,1683152847
301,viqueque,-8.8673,126.3658,77.23,85,82,5.39,TL,1683152847
302,hirtshals,57.5881,9.9592,42.94,86,4,3.91,DK,1683152848
